,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
1062,149.07118,-0.10311127,0.08443586,10.443746,18.7359,18.038633,0.00022107792,0.000116316005,366.2576015955081,0.8789390621680797,Field,,
1063,148.99701,-0.24462691,0.08441485,10.605245,18.1125,17.048172,0.0005504681,0.00020653917,366.16833528485853,0.9422464190480394,Field,,
1065,149.02733,0.14326648,0.20905404,11.236549,19.0271,17.77357,0.00028221036,8.895319e-05,878.9642411561557,0.909141105104511,Field,,
1066,149.0106,0.139739,0.074573904,10.609027,18.2491,17.102741,0.000523483,0.00018212128,324.2544067286915,0.9415178456126397,Field,,
1067,149.01118,-0.08002873,0.08626337,10.230056,18.2179,17.517223,0.000357365,0.00018742979,374.0184236183399,0.929190320359696,Field,,
1068,148.38184,-1.2066102,0.08964385,10.405238,18.7183,17.671452,0.00031004078,0.0001182174,388.35532948836845,0.9185490754312758,Field,,
1069,148.21564,-0.87471247,0.10711697,10.238853,19.4256,18.738571,0.000116030285,6.162552e-05,462.0702712097849,0.8673205153589953,Field,,
1070,148.31755,-1.050546,0.1393791,10.9831915,18.7253,17.650972,0.00031594594,0.000117457166,596.4502941476072,0.9202223231151084,Field,,
1071,148.35709,-1.0615242,0.08362079,11.028407,17.7303,16.653702,0.000791625,0.00029368396,362.79397953108924,0.9456007847905437,Field,,
1072,148.39456,-0.88771164,0.13728005,11.290095,18.4207,17.549015,0.00034704988,0.00015549663,587.7755825091964,0.9273751135112633,Field,,
1073,148.26945,-0.85665625,0.090429455,11.019936,18.1197,17.34557,0.00041857266,0.00020517402,391.683648644277,0.9362409890651386,Field,,
1074,148.24551,-0.97315013,0.04863385,9.94955,17.8597,17.246258,0.0004586686,0.00026068653,212.78711255801701,0.9388668715465386,Field,,
